0,1,2,3,4,5,6,7,8,9
"(based on SRTM, Digital Elevation Model, 30 m, 2016).",,,,,,,,,
,,,(km2),,,,,,
,,,% of the total,,,,,,
Sl. No.,Forest Type,Area,,,,,,,
,,,mapped area*,,,,,,
1,1B/C1 Assam Valley tropical wet evergreen forest (Dipterocarpus),"1,008.38",3.52,,,,,,
2,1B/C2a Kayea forest,210.11,0.73,,,,,,
3,1B/C2b Mesua forest,5.57,0.02,,,,,,
4,1B/C3 Cachar tropical evergreen forest,893.32,3.11,,,,,,
5,2B/C1a Assam alluvial plains semi-evergreen forest,444.74,1.55,,,,,,
6,2B/C1/1S1 Sub-Himalayan light alluvial semi-evergreen forest,364.48,1.27,,,,,,
7,2B/C1/1S2 Syzygium parkland,17.79,0.06,,,,,,
8,2B/C1/2S1 Pioneer Euphorbiaceous scrub,83.47,0.29,,,,,,
9,2B/C1/2S2 Eastern alluvial secondary semi-evergreen forest,344.83,1.20,,,,,,
10,2B/C2 Cachar semi-evergreen forest,"10,389.59",36.20,,,,,,
11,2/2S1 Secondary moist bamboo brakes,832.53,2.90,,,,,,
12,3C/C1a(ii) Khasi hill sal,41.18,0.15,,,,,,
13,3C/C1b(i) East Himalayan upper bhabar sal,632.77,2.21,,,,,,
14,3C/C2d (iv) App. Kamrup sal,771.94,2.69,,,,,,
15,3C/C3b East Himalayan moist mixed deciduous forest,"5,106.98",17.80,,,,,,
16,3C/C3/2S1 Northern Secondary moist mixed deciduous forest,508.50,1.77,,,,,,
17,3C/1S1 Low alluvial savannah woodland (Salmalia-Albizia),12.84,0.04,,,,,,
18,3/1S2(a) Terminalia-Lagerstroemia,2.84,0.01,,,,,,
19,4C/FS3 Creeper swamp forest,0.06,0.00,,,,,,
20,4D/SS1 Eastern seasonal swamp forest,0.83,0.00,,,,,,
21,5/1S2 Khair-sissu forest,23.20,0.08,,,,,,
22,8B/DS1 Assam subtropical hill savannah woodland,9.13,0.03,,,,,,
23,9/C2 Assam subtropical pine forest,131.95,0.46,,,,,,
Sub Total,,"21,837.03",76.09,,,,,,
24,TOF/ Plantation,"6,717.45",23.41,,,,,,
Total (Forest Cover & Scrub),,"28,554.48",99.50,,,,,,
Grassland forest types (outside forest cover),,,,,,,,,
25,4D/2S1 Syzygium parkland,0.63,0.00,,,,,,
26,4D/2S2 Eastern wet alluvial grassland,144.36,0.50,,,,,,
Sub Total,,144.99,0.50,,,,,,
Grand Total,,"28,699.47",100.00,,,,,,
*Forest Types have been assigned to the natural forest formations under forest cover and scrub categories shown in,,,,,,,,,
Table 10.3.11 District-wise Number of Forest Fire Detected,,,,,,,,,
,,SNPP-VIIRS Detection,SNPP-VIIRS Detection,,,,,,
Sl. No.,District,,,,,,,,
,,during 2022-23,during 2023-24,,,,,,
1,Baksa,131,252,,,,,,
2,Barpeta,0,0,,,,,,
3,Biswanath,38,32,,,,,,
4,Bongaigaon,4,15,,,,,,
5,Cachar,449,198,,,,,,
6,Charaideo,23,15,,,,,,
7,Chirang,227,376,,,,,,
8,Darrang,47,60,,,,,,
9,Dhemaji,1,2,,,,,,
10,Dhubri,4,3,,,,,,
11,Dibrugarh,48,38,,,,,,
12,Dima Hasao,"2,315","1,843",,,,,,
13,Goalpara,36,43,,,,,,
14,Golaghat,144,143,,,,,,
15,Hailakandi,458,159,,,,,,
16,Hojai,38,43,,,,,,
17,Jorhat,43,53,,,,,,
18,Kamrup,381,316,,,,,,
19,Kamrup Metropolitan,126,95,,,,,,
20,Karbi Anglong,"2,844","1,479",,,,,,
21,Karimganj,124,77,,,,,,
22,Kokrajhar,101,275,,,,,,
23,Lakhimpur,9,19,,,,,,
24,Majuli,0,0,,,,,,
25,Morigaon,8,36,,,,,,
26,Nagaon,33,51,,,,,,
27,Nalbari,0,0,,,,,,
28,Sivasagar,26,67,,,,,,
29,Sonitpur,41,25,,,,,,
30,South Salmara-Mankachar,0,0,,,,,,
31,Tinsukia,130,125,,,,,,
32,Udalguri,31,33,,,,,,
33,West Karbi Anglong,"1,970","1,766",,,,,,
,Total,"9,830","7,639",,,,,,
,Table 10.3.12 Forest Fire Prone Classes,,,,,,,,
Sl. No.,Forest Fire Prone Classes,Forest Cover*,% of Total Forest Cover,,,,,,
1,Extremely fire prone,400.95,1.40,,,,,,
2,Very highly fire prone,"3,352.77",11.74,,,,,,
3,Highly fire prone,"4,798.75",16.81,,,,,,
4,Moderately fire prone,"3,521.25",12.33,,,,,,
5,Less fire prone,"16,480.76",57.72,,,,,,
,Total,"28,554.48",100.00,,,,,,
*Forest Cover including Scrub.,,,,,,,,,
Table 10.3.13 Number of Trees and their Volume for Top 5 species in,,,,,,,,,
RFA,,,,,,,,,
Sl. No.,Species,No. of Trees (in ‘000),Volume (M m3),,,,,,
1,Shorea robusta,"34,562",6.54,,,,,,
2,Schima wallichii,"17,053",3.25,,,,,,
3,Tectona grandis,"16,720",5.87,,,,,,
4,Lannea coromandelica,"12,034",3.81,,,,,,
5,"A
l
b
i
z
i
a
 
species","10,083",2.83,,,,,,
Rural Area,,,,,,,,,
Sl. No.,,Species,No. of Trees (in ‘000),Volume (M m3),,,,,
1,Areca catechu,,"59,812",1.039,,,,,
2,Tectona grandis,,"7,538",1.029,,,,,
3,Gmelina arborea,,"6,417",1.533,,,,,
4,Mangifera indica,,"5,081",1.178,,,,,
5,"A
l
b
i
z
i
a
 
species",,"4,390",1.708,,,,,
Assam,,,,,,,,,
Sl. No.,,Species,Estimated Extent (km2),,,,,,
1,Chromolaena odorata,,"1,925.29",,,,,,
2,"M
i
kania micrantha",,"1,082.16",,,,,,
3,Lantana camara,,605.30,,,,,,
4,"I
mperata cylindrica",,96.32,,,,,,
5,Saccharum spontaneum,,85.62,,,,,,
Geographical Area,,,,,,,,,
"94,163 km2",,,,,,,,,
Geographical Coordinates,,,,,,,,,
Latitude 24◦16’ N to 27◦45’ N,,,,,,,,,
Longitude 83◦16’ E to 88◦30’ E,,,,,,,,,
Population (as per Census 2011),,,,,,,,,
104.10 million,,,,,,,,,
Urban 11.76 million (11.29 %),,,,,,,,,
Rural 92.34 million (88.71 %),,,,,,,,,
Tribal 1.34 million (1.28 %),,,,,,,,,
Average Population Density,,,,,,,,,
"1,106 per km2",,,,,,,,,
Livestock Population,,,,,,,,,
(as per 19th Livestock Census),,,,,,,,,
32.93 million,,,,,,,,,
No. of Districts,,,,,,,,,
38,,,,,,,,,
No. of Hill Districts,,,,,,,,,
0,,,,,,,,,
No. of Tribal Districts,,,,,,,,,
0,,,,,,,,,
Table 10.4.1 Land Use Pattern,,,,,,,,,
Land Use Types,Area (in ‘000 ha),Percentage,,,,,,,
Geographical Area,"9,416",,,,,,,,
Reporting area for land utilization,"9,359.57",100.00,,,,,,,
Forests,621.63,6.64,,,,,,,
Not available for land cultivation,"2,181.11",23.30,,,,,,,
Permanent pastures and other grazing lands,14.91,0.16,,,,,,,
Land under misc. tree crops and groves,250.98,2.68,,,,,,,
Culturable wasteland,43.58,0.47,,,,,,,
Fallow land other than current fallows,174.01,1.86,,,,,,,
Current fallows,"1,002.96",10.72,,,,,,,
Net area sown,"5,070.39",54.17,,,,,,,
Table 10.4.2 Forest Cover of Bihar,,,,,,,,,
,,(km2),,,,,,,
Class,Area,%  of Calculated Area by SoI,,,,,,,
VDF,387.00,0.41,,,,,,,
MDF,"3,284.21",3.49,,,,,,,
OF,"3,861.24",4.10,,,,,,,
Total,"7,532.45",8.00,,,,,,,
Scrub,260.80,0.28,,,,,,,
,Table 10.4.3 District-wise Forest Cover in Bihar,,,,,,,,
,,,,,,,,(km2),
,,,2023 Assessment,,,,Change,,
,,,,,,%  of Cal-,,,
,,,,,,,w.r.t.,,
,Calculated,Very,Mod.,,,culated,,,
District,,,,Open,,,2021,Scrub,
,Area by SoI,Dense,Dense,,Total,Area by,,,
,,,,Forest,,,Raster,,
,,Forest,Forest,,,SoI,,,
,,,,,,,based*,,
Araria,"2,830",0.00,7.87,138.77,146.64,5.18,-1.64,0.40,
Arwal,638,0.00,1.44,2.58,4.02,0.63,0.00,0.00,
Aurangabad,"3,305",0.00,65.56,92.22,157.78,4.77,3.97,14.01,
Banka,"3,020",0.09,100.62,194.81,295.52,9.79,19.16,32.45,
Begusarai,"1,918",0.00,28.03,51.47,79.50,4.14,-5.31,0.00,
Bhagalpur,"2,569",0.00,64.53,38.78,103.31,4.02,33.82,0.00,
Bhojpur,"2,395",0.00,19.23,12.34,31.57,1.32,-0.98,0.53,
Buxar,"1,703",0.00,3.04,2.97,6.01,0.35,-0.11,0.00,
Darbhanga,"2,279",0.00,44.17,100.06,144.23,6.33,6.69,0.00,
East Champaran,"3,968",0.00,66.48,120.94,187.42,4.72,19.44,0.00,
Gaya,"4,976",0.00,134.25,488.24,622.49,12.51,10.76,63.08,
Gopalganj,"2,033",0.00,4.68,6.62,11.30,0.56,2.64,0.00,
Jamui,"3,098",27.78,352.66,290.40,670.84,21.65,5.24,14.79,
Jehanabad,931,0.00,0.06,6.04,6.10,0.66,1.30,3.07,
Kaimur (Bhabua),"3,362",0.00,526.00,499.68,"1,025.68",30.51,-35.35,38.50,
Katihar,"3,057",0.00,6.50,58.89,65.39,2.14,3.63,0.00,
Khagaria,"1,486",0.00,2.81,14.81,17.62,1.19,-0.50,0.00,
Kishanganj,"1,884",0.00,12.28,82.99,95.27,5.06,-7.56,0.00,
Lakhisarai,"1,228",16.16,126.61,26.77,169.54,13.81,1.38,4.18,
Madhepura,"1,788",0.00,1.38,58.63,60.01,3.36,6.17,0.00,
Madhubani,"3,501",0.00,42.19,189.99,232.18,6.63,25.71,0.00,
Munger,"1,419",39.19,240.65,26.17,306.01,21.57,3.30,9.04,
Muzaffarpur,"3,172",0.00,53.48,122.28,175.76,5.54,6.31,0.00,
Nalanda,"2,355",0.00,10.37,34.44,44.81,1.90,5.41,5.59,
Nawada,"2,494",0.00,199.53,306.77,506.30,20.30,-9.76,21.47,
Patna,"3,202",0.00,19.90,8.47,28.37,0.89,0.00,0.09,
Purnia,"3,229",0.00,5.34,55.34,60.68,1.88,5.09,0.00,
Rohtas,"3,851",0.00,350.25,317.81,668.06,17.35,1.66,43.42,
,,,,,,%  of Cal-,,,
,Calculated,,,,,,w.r.t.,,
,,Very,Mod.,,,culated,,,
District,Area by,,,Open,,,2021,Scrub,
,,Dense,Dense,,Total,Area by,,,
,SoI,,,Forest,,,Raster,,
,,Forest,Forest,,,SoI,,,
,,,,,,,based*,,
Saharsa,"1,687",0.00,3.98,31.85,35.83,2.12,2.86,0.00,
Samastipur,"2,904",0.00,101.81,47.43,149.24,5.14,-4.00,0.00,
Saran,"2,641",0.00,25.53,37.26,62.79,2.38,3.40,0.00,
Sheikhpura,689,0.00,0.64,0.18,0.82,0.12,0.00,0.00,
Sheohar,349,0.00,2.21,28.22,30.43,8.72,3.84,0.00,
Sitamarhi,"2,294",0.00,37.81,114.09,151.90,6.62,12.99,0.00,
Siwan,"2,219",0.00,2.51,6.90,9.41,0.42,2.00,0.00,
Supaul,"2,425",0.00,4.26,138.20,142.46,5.87,6.19,0.00,
Vaishali,"2,036",0.00,88.30,30.63,118.93,5.84,0.05,0.00,
West Champaran,"5,228",303.78,527.25,77.20,908.23,17.37,1.39,10.18,
Grand Total,"94,163",387.00,"3,284.21","3,861.24","7,532.45",8.00,129.19,260.80,
*Area figure calculated without normalization factor.,,,,,,,,,
,,,,,,,w.r.t.,,
,Division,Very,Mod.,,,Digitized,,,
Division,,,,Open,,,2021,Scrub,
,Boundary,Dense,Dense,,Total,Division,,,
,,,,Forest,,,Raster,,
,Area#,Forest,Forest,,,Boundary,,,
,,,,,,,based*,,
,,,,,,Area,,,
Tirhut,"3,177.05",0.00,53.26,122.62,175.88,5.54,6.25,0.00,
Vaishali,"1,989.48",0.00,88.09,30.45,118.54,5.96,0.04,0.00,
VTR  Ramnagar,,,,,,,,,
,435.48,115.82,240.71,15.89,372.42,85.52,2.04,0.00,
(VTP-1),,,,,,,,,
VTR Valmikinagar,,,,,,,,,
,589.44,182.86,219.20,22.98,425.04,72.11,0.35,7.24,
(VTP-2),,,,,,,,,
Area which does,,,,,,,,,
not fall in any,368.41,0.75,22.61,11.14,34.50,9.36,0.00,8.98,
Division,,,,,,,,,
Grand Total,"94,591.34",387.00,"3,284.21","3,861.24","7,532.45",7.96,129.19,260.80,
#As per the division boundary shape file provided by State Forest Department.,,,,,,,,,
,,BIHAR,,,,,,,
,10.4.2 Forest  Cover Inside and Outside Recorded Forest Area,,,,,,,,
,(or Green Wash),,,,,,,,
,The Forest Cover inside and outside Recorded Forest Area (RFA) has been analysed in different,,,,,,,,
,categories and presented in table given below.,,,,,,,,
,Table 10.4.5 Forest Cover Inside and Outside Recorded Forest Area,,,,,,,,
,(or Green Wash) in Bihar,,,,,,,,
,,( km2),,,,,,,
,Forest Cover Inside the Recorded Forest Area,Forest Cover Outside the Recorded Forest Area,,,,,,,
,(or Green Wash),(or Green Wash),,,,,,,
,"VDF
MDF
OF
Total","VDF
MDF
OF
Total",,,,,,,
375.79,"2,445.25
2,044.70","11.21
838.96
1,816.54",,,,,,,
,"4,865.74","2,666.71",,,,,,,
7.72%,"50.26%
42.02%","0.42%
31.46%
68.12%",,,,,,,
"*
I
n","case of Bihar, RFA boundaries have been used.",,,,,,,,
,Figure 10.4.2 Forest Cover Inside and Outside of RFA in Bihar,,,,,,,,
"42
Forest Survey of India",,,,,,,,,
,Table 10.4.6 Forest Cover Change Matrix Inside RFA/GW for,,,,,,,,
,Bihar between 2021 Raster based and 2023 Assessments,,,,,,,,
,,,,,,(km2),,,
,,,2023 Assessment inside RFA/GW,,,Total ISFR,,,
,,,,,,2021 inside,,,
Class,,,,,,,,,
,VDF,MDF,OF,Scrub,NF,RFA / GW,,,
,,,,,,Raster based*,,,
VDF,305.55,12.86,0.40,0.00,0.51,319.32,,,
MDF,69.24,"2,386.65",9.06,4.61,7.72,"2,477.28",,,
OF,0.60,39.15,"1,941.17",31.51,34.37,"2,046.80",,,
Scrub,0.00,0.92,37.65,163.74,9.18,211.49,,,
NF,0.40,5.67,56.42,14.99,"1,245.69","1,323.17",,,
Total ISFR,,,,,,,,,
2023 inside,375.79,"2,445.25","2,044.70",214.85,"1,297.47","6,378.06",,,
RFA/GW,,,,,,,,,
Net Change,56.47,-32.03,-2.10,3.36,-25.70,,,,
*Area figure calculated without normalization factor.,,,,,,,,,
,Table 10.4.9 Forest Cover in Different Slope Classes in Bihar,,,,,,,,
,,,,,,(km2),,,
Slope,Calculated,,,,,,,,
,,VDF,MDF,OF,Total,Scrub,,,
(in degrees),Area by SoI,,,,,,,,
0 to 5,"91,177",230.27,"2,091.94","3,055.71","5,377.92",169.74,,,
5 to 10,"1,576",71.91,498.20,373.06,943.17,37.70,,,
10 to 15,594,38.68,286.15,174.89,499.72,19.89,,,
15 to 20,363,24.09,182.17,108.54,314.80,13.78,,,
20 to 25,222,13.28,111.11,68.64,193.03,9.22,,,
25 to 30,122,6.00,60.00,40.95,106.95,5.79,,,
> 30,109,2.77,54.64,39.45,96.86,4.68,,,
Total,"94,163",387.00,"3,284.21","3,861.24","7,532.45",260.80,,,
"(based on SRTM, Digital Elevation Model, 30 m, 2016).",,,,,,,,,
,,,(km2),,,,,,
,,,% of the total,,,,,,
Sl. No.,Forest Type,Area,,,,,,,
,,,mapped area*,,,,,,
1,2/E1 Cane brakes,2.58,0.03,,,,,,
2,3B/C1b Moist teak forest,4.19,0.05,,,,,,
3,3C/C2b(i) Bhabar-dun sal,268.68,3.44,,,,,,
4,3C/C3a West Gangetic moist mixed deciduous forest,179.14,2.30,,,,,,
5,4D/SS2 Barringtonia swamp forest,2.10,0.03,,,,,,
6,5B/C1a Dry Siwalik sal forest,384.43,4.93,,,,,,
7,5B/C1c Dry peninsular sal forest,"1,571.67",20.14,,,,,,
8,5B/C2 Northern dry mixed deciduous forest,"2,335.80",29.94,,,,,,
9,5/DS1 Dry deciduous scrub,291.49,3.74,,,,,,
10,5/E2 Boswellia forest,317.79,4.07,,,,,,
11,5/E9 Dry bamboo brakes,68.98,0.88,,,,,,
12,5/1S2 Khair-sissu forest,2.38,0.03,,,,,,
Sub Total,,"5,429.23",69.58,,,,,,
13,TOF/ Plantation,"2,364.02",30.30,,,,,,
Total (Forest Cover & Scrub),,"7,793.25",99.88,,,,,,
Grassland forest type (outside forest cover),,,,,,,,,
14,4D/2S2 Eastern wet alluvial grassland,9.46,0.12,,,,,,
Grand Total,,"7,802.71",100.00,,,,,,
*Forest Types have been assigned to the natural forest formations under forest cover and scrub categories shown in,,,,,,,,,
Table 10.4.11 District-wise Number of Forest Fire Detected,,,,,,,,,
,,,SNPP-VIIRS Detection,SNPP-VIIRS Detection,,,,,
Sl. No.,,District,,,,,,,
,,,during 2022-23,during 2023-24,,,,,
1,Araria,,0,0,,,,,
2,Arwal,,0,0,,,,,
3,Aurangabad,,53,89,,,,,
4,Banka,,165,50,,,,,
5,Begusarai,,0,0,,,,,
6,Bhagalpur,,0,0,,,,,
7,Bhojpur,,0,0,,,,,
8,Buxar,,2,0,,,,,
9,Darbhanga,,0,0,,,,,
10,East Champaran,,0,0,,,,,
11,Gaya,,178,69,,,,,
12,Gopalganj,,0,0,,,,,
13,Jamui,,531,354,,,,,
14,Jehanabad,,6,0,,,,,
15,Kaimur (Bhabua),,314,106,,,,,
16,Katihar,,0,0,,,,,
17,Khagaria,,0,0,,,,,
18,Kishanganj,,0,0,,,,,
19,Lakhisarai,,212,121,,,,,
20,Madhepura,,0,0,,,,,
21,Madhubani,,0,0,,,,,
22,Munger,,339,233,,,,,
23,Muzaffarpur,,0,0,,,,,
24,Nalanda,,19,1,,,,,
25,Nawada,,321,173,,,,,
26,Patna,,1,0,,,,,
27,Purnia,,1,0,,,,,
28,Rohtas,,155,164,,,,,
29,Saharsa,,0,0,,,,,
30,Samastipur,,0,0,,,,,
31,Saran,,0,0,,,,,
32,Sheikhpura,,0,0,,,,,
33,Sheohar,,0,0,,,,,
34,Sitamarhi,,0,0,,,,,
35,Siwan,,0,0,,,,,
36,Supaul,,0,0,,,,,
37,Vaishali,,0,0,,,,,
38,West Champaran,,"1,496","1,403",,,,,
,Total,,"3,793","2,763",,,,,
,Table 10.4.12 Forest Fire Prone Classes,,,,,,,,
Sl. No.,Forest Fire Prone Classes,Forest Cover*,% of Total Forest Cover,,,,,,
1,Extremely fire prone,343.30,4.41,,,,,,
2,Very highly fire prone,"1,217.02",15.62,,,,,,
3,Highly fire prone,"1,362.32",17.48,,,,,,
4,Moderately fire prone,986.21,12.65,,,,,,
5,Less fire prone,"3,884.40",49.84,,,,,,
,Total,"7,793.25",100.00,,,,,,
*Forest Cover including Scrub.,,,,,,,,,
Table 10.4.13 Number of Trees and their volume for Top 5 species in,,,,,,,,,
RFA,,,,,,,,,
Sl. No.,Species,No. of Trees (in ‘000),Volume (M m3),,,,,,
1,Shorea robusta,"23,780",8.88,,,,,,
2,Lannea coromandelica,"10,083",1.89,,,,,,
3,Madhuca longifolia/ M. latifolia/ M. indica,"8,189",1.82,,,,,,
4,Buchanania lanzan/ Buchanania latifolia,"6,647",0.59,,,,,,
5,Terminalia elliptica/ Terminalia crenulata,"5,701",1.64,,,,,,
Rural Area,,,,,,,,,
Sl. No.,Species,No. of Trees (in ‘000),Volume (M m3),,,,,,
1,Mangifera indica,"52,160",17.986,,,,,,
2,Dalbergia sissoo,"16,548",3.474,,,,,,
3,Borassus flabellifer/ Borassus flabelliformis,"7,898",5.695,,,,,,
4,Syzygium cumini/ Eugenia jambolana,"5,395",1.160,,,,,,
5,"L
i
tchi chinensis/ Litchi sinensis","5,074",0.499,,,,,,
Bihar,,,,,,,,,
Sl. No.,,Species,Estimated Extent (km2),,,,,,
1,Lantana camara,,550.09,,,,,,
2,Chromolaena odorata,,248.80,,,,,,
3,Senna tora,,36.37,,,,,,
4,Senna occidentalis,,18.18,,,,,,
5,Ageratum conyzoides,,17.77,,,,,,
Table 10.4.17 Major NTFP species in Bihar,,,,,,,,,
Sl. No.,Species,Habit,No. of Plants (in ‘000),,,,,,
1,Shorea robusta,Tree,"7,42,329",,,,,,
2,"D
i
ospyros melanoxylon",Tree,"6,27,766",,,,,,
3,Butea monosperma,Tree,"2,07,074",,,,,,
4,Buchanania Lanzan,Tree,"1,77,230",,,,,,
5,Madhuca longifolia/ M. latifolia/ M. indica,Tree,"1,05,815",,,,,,
6,Aegle marmelos,Tree,"85,703",,,,,,
7,Acacia catechu/ Senegalia catechu,Tree,"50,321",,,,,,
8,Terminalia bellirica,Tree,"25,207",,,,,,
9,Boswellia serrata,Tree,"9,335",,,,,,
Photo: FSI Repository,,,,,,,,,
Geographical Area,,,,,,,,,
"1,35,192 km2",,,,,,,,,
Geographical Coordinates,,,,,,,,,
Latitude 17◦47’ N to 24◦06’ N,,,,,,,,,
Longitude 80◦15’ E to 84◦24’ E,,,,,,,,,
Population (as per Census 2011),,,,,,,,,
25.55 million,,,,,,,,,
Urban 5.94 million (23.24 %),,,,,,,,,
Rural 19.61 million (76.76 %),,,,,,,,,
Tribal 7.82 million (30.62 %),,,,,,,,,
Average Population Density,,,,,,,,,
189 per km2,,,,,,,,,
Livestock Population,,,,,,,,,
(as per 19th Livestock Census),,,,,,,,,
15.04 million,,,,,,,,,
No. of Districts,,,,,,,,,
28,,,,,,,,,
No. of Hill Districts,,,,,,,,,
0,,,,,,,,,
No. of Tribal Districts,,,,,,,,,
11,,,,,,,,,
Table 10.5.1 Land Use Pattern,,,,,,,,,
Land Use Types,Area (in ‘000 ha),Percentage,,,,,,,
Geographical Area,"13,519",,,,,,,,
Reporting area for land utilization,"14,090.27",100.00,,,,,,,
Forests,"6,607.43",46.89,,,,,,,
Not available for land cultivation,"1,038.11",7.37,,,,,,,
Permanent pastures and other grazing lands,892.82,6.34,,,,,,,
Land under misc. tree crops and groves,2.54,0.02,,,,,,,
Culturable wasteland,382.97,2.72,,,,,,,
Fallow land other than current fallows,255.74,1.81,,,,,,,
Current fallows,279.69,1.98,,,,,,,
Net area sown,"4,630.97",32.87,,,,,,,
Table 10.5.2 Forest Cover of Chhattisgarh,,,,,,,,,
,,(km2),,,,,,,
Class,Area,%  of Calculated Area by SoI,,,,,,,
VDF,"7,416.57",5.49,,,,,,,
MDF,"31,983.80",23.65,,,,,,,
OF,"16,411.38",12.14,,,,,,,
Total,"55,811.75",41.28,,,,,,,
Scrub,610.41,0.45,,,,,,,
,,,,,,%  of Cal-,,,
,,,,,,,w.r.t.,,
,Calculated,Very,Mod.,,,culated,,,
District,,,,Open,,,2021,Scrub,
,Area by SoI,Dense,Dense,,Total,Area by,,,
,,,,Forest,,,Raster,,
,,Forest,Forest,,,SoI,,,
,,,,,,,based*,,
Balod,"3,372.23",45.21,505.84,192.66,743.71,22.05,4.27,18.17,
Balodabazar,,,,,,,,,
,"4,635.49",151.94,660.46,207.08,"1,019.48",21.99,1.56,34.78,
Bhatapara,,,,,,,,,
Balrampur,"6,253.07",450.29,"1,514.96","1,169.21","3,134.46",50.13,-6.45,16.24,
Bastar,"5,394.84",604.45,841.72,653.74,"2,099.91",38.92,19.20,43.70,
Bemetara,"2,866.01",0.00,0.00,7.51,7.51,0.26,-0.90,0.40,
Bijapur,"8,529.50","2,261.46","3,232.24","1,599.07","7,092.77",83.16,10.12,4.40,
Bilaspur,"3,541.04",19.57,438.71,222.19,680.47,19.22,8.04,19.02,
Gaurela-Pendra-,,,,,,,,,
,"1,991.36",5.37,548.82,201.78,755.97,37.96,8.25,25.70,
Marwahi,,,,,,,,,
Dantewada,"2,822.25",80.07,653.98,561.35,"1,295.40",45.90,6.86,3.81,
Dhamtari,"4,084.00",101.06,"1,332.73",427.28,"1,861.07",45.57,0.47,11.13,
Durg,"2,297.01",0.00,3.43,22.00,25.43,1.11,-1.81,1.70,
Gariaband,"4,844.19",5.64,"1,718.81",852.70,"2,577.15",53.20,-11.02,13.93,
Janjgir - Champa,"3,852.75",4.93,21.39,126.29,152.61,3.96,-2.42,14.97,
Jashpur,"5,837.75",228.47,"1,314.76",583.86,"2,127.09",36.44,-1.68,20.38,
Kawardha,,,,,,,,,
,"4,235.00",80.72,"1,059.32",392.54,"1,532.58",36.19,-8.44,12.62,
(Kabirdham),,,,,,,,,
Kondagaon,"5,074.66",326.20,"1,258.34",580.96,"2,165.50",42.67,-7.54,7.35,
Korba,"6,598.50",265.48,"2,243.79",887.04,"3,396.31",51.47,-3.66,88.95,
Korea,"6,604.25",88.94,"2,571.52","1,447.58","4,108.04",62.20,-3.24,59.34,
Mahasamund,"4,789.75",3.75,513.31,429.85,946.91,19.77,-5.05,28.50,
Mungeli,"2,739.10",374.68,585.74,78.10,"1,038.52",37.91,-17.27,5.38,
Narayanpur,"4,653.50",952.91,"1,409.30",819.75,"3,181.96",68.38,1.73,12.72,
Raigarh,"7,086.00",309.08,"1,512.32",796.50,"2,617.90",36.94,-1.03,26.75,
Raipur,"2,903.32",0.00,11.39,35.32,46.71,1.61,0.13,7.03,
,,,,,,%  of Cal-,,,
,,,,,,,w.r.t.,,
,Calculated,Very,Mod.,,,culated,,,
District,,,,Open,,,2021,Scrub,
,Area by SoI,Dense,Dense,,Total,Area by,,,
,,,,Forest,,,Raster,,
,,Forest,Forest,,,SoI,,,
,,,,,,,based*,,
Rajnandgaon,"8,070.25",41.59,"1,747.65",751.71,"2,540.95",31.49,-4.38,47.14,
Sukma,"5,476.00",215.52,"1,689.31","1,345.38","3,250.21",59.35,-2.27,27.09,
Surajpur,"5,472.72",182.38,"1,484.38",860.93,"2,527.69",46.19,-3.10,24.62,
Surguja,"4,005.96",87.34,907.29,435.45,"1,430.08",35.70,-1.75,24.73,
Uttar Bastar,,,,,,,,,
,"7,161.50",529.52,"2,202.29",723.55,"3,455.36",48.25,2.25,9.86,
Kanker (Kanker),,,,,,,,,
Grand Total,"1,35,192.00","7,416.57","31,983.80","16,411.38","55,811.75",41.28,-19.13,610.41,
*Area figure calculated without normalization factor.,,,,,,,,,
,Table 10.5.5 Forest Cover Change Matrix Inside RFA/GW for,,,,,,,,
,Chhattisgarh between 2021 Raster based and 2023 Assessments,,,,,,,,
,,,,,,(km2),,,
,,,2023 Assessment inside RFA/GW,,,Total ISFR,,,
,,,,,,2021 inside,,,
Class,,,,,,,,,
,VDF,MDF,OF,Scrub,NF,RFA / GW,,,
,,,,,,Raster based*,,,
VDF,"5,400.36",28.90,16.08,0.00,4.10,"5,449.44",,,
MDF,392.45,"25,785.37",182.88,1.06,6.00,"26,367.76",,,
OF,3.27,256.58,"10,208.00",103.75,45.00,"10,616.60",,,
Scrub,0.00,0.00,68.59,220.82,78.28,367.69,,,
NF,0.00,0.00,77.91,21.97,"10,133.17","10,233.05",,,
Total ISFR,,,,,,,,,
2023 inside,"5,796.08","26,070.85","10,553.46",347.60,"10,266.55","53,034.54",,,
RFA /GW,,,,,,,,,
Net Change,346.64,-296.91,-63.14,-20.09,33.50,,,,
*Area figure calculated without normalization factor.,,,,,,,,,
,Table 10.5.6 Forest Cover Change Matrix Outside RFA/GW for,,,,,,,,
,Chhattisgarh between 2021 Raster based and 2023 Assessments,,,,,,,,
,,,,,,(km2),,,
,,,2023 Assessment outside RFA/GW,,,Total ISFR,,,
,,,,,,2021 outside,,,
Class,,,,,,,,,
,VDF,MDF,OF,Scrub,NF,RFA / GW,,,
,,,,,,Raster based*,,,
VDF,"1,585.66",8.50,2.10,0.12,8.95,"1,605.33",,,
MDF,34.83,"5,870.80",23.40,2.31,3.77,"5,935.11",,,
OF,0.00,33.65,"5,811.21",5.77,6.01,"5,856.64",,,
Scrub,0.00,0.00,13.85,230.97,1.13,245.95,,,
NF,0.00,0.00,7.36,23.64,"68,483.43","68,514.43",,,
Total ISFR,,,,,,,,,
